arrondissement,date_report,cumulative_cases,cases
Ahuntsic–Cartierville,2020-03-30,66,12
Ahuntsic–Cartierville,2020-03-31,66,0
Ahuntsic–Cartierville,2020-04-01,98,32
Ahuntsic–Cartierville,2020-04-02,106,8
Ahuntsic–Cartierville,2020-04-03,131,25
Ahuntsic–Cartierville,2020-04-04,143,12
Ahuntsic–Cartierville,2020-04-05,176,33
Ahuntsic–Cartierville,2020-04-06,200,24
Ahuntsic–Cartierville,2020-04-07,223,23
Ahuntsic–Cartierville,2020-04-08,247,24
Ahuntsic–Cartierville,2020-04-09,277,30
Ahuntsic–Cartierville,2020-04-10,305,28
Ahuntsic–Cartierville,2020-04-11,333,28
Ahuntsic–Cartierville,2020-04-12,353,20
Ahuntsic–Cartierville,2020-04-13,392,39
Ahuntsic–Cartierville,2020-04-14,417,25
Ahuntsic–Cartierville,2020-04-15,481,64
Ahuntsic–Cartierville,2020-04-16,594,113
Ahuntsic–Cartierville,2020-04-17,663,69
Ahuntsic–Cartierville,2020-04-18,663,0
Ahuntsic–Cartierville,2020-04-19,663,0
Ahuntsic–Cartierville,2020-04-20,753,90
Ahuntsic–Cartierville,2020-04-21,802,49
Ahuntsic–Cartierville,2020-04-22,835,33
Ahuntsic–Cartierville,2020-04-23,946,111
Ahuntsic–Cartierville,2020-04-24,946,0
Ahuntsic–Cartierville,2020-04-25,973,27
Ahuntsic–Cartierville,2020-04-26,1007,34
Ahuntsic–Cartierville,2020-04-27,1064,57
Ahuntsic–Cartierville,2020-04-28,1064,0
Ahuntsic–Cartierville,2020-04-29,1064,0
Ahuntsic–Cartierville,2020-04-30,1185,121
Ahuntsic–Cartierville,2020-05-01,1185,0
Ahuntsic–Cartierville,2020-05-02,1307,122
Ahuntsic–Cartierville,2020-05-03,1329,22
Ahuntsic–Cartierville,2020-05-04,1351,22
Ahuntsic–Cartierville,2020-05-05,1392,41
Ahuntsic–Cartierville,2020-05-06,1442,50
Ahuntsic–Cartierville,2020-05-07,1502,60
Ahuntsic–Cartierville,2020-05-08,1536,34
Ahuntsic–Cartierville,2020-05-09,1585,49
Ahuntsic–Cartierville,2020-05-10,1610,25
Ahuntsic–Cartierville,2020-05-11,1645,35
Ahuntsic–Cartierville,2020-05-12,1671,26
Ahuntsic–Cartierville,2020-05-13,1695,24
Ahuntsic–Cartierville,2020-05-14,1722,27
Ahuntsic–Cartierville,2020-05-15,1755,33
