arrondissement,arrond_ville_liee,Population
Ahuntsic–Cartierville,Arrond.,141352
Anjou,Arrond.,45994
Baie D'urfé,Ville,3922
Beaconsfield,Ville,19977
Côte-des-Neiges–Notre-Dame-de-Grâce,Arrond.,175560
Côte-Saint-Luc,Ville,34761
Dollard-des-Ormeaux,Ville,50453
Dorval,Ville,20040
Hampstead,Ville,7350
Kirkland,Ville,20298
L'Île-Bizard–Sainte-Geneviève,Arrond.,19693
Lachine,Arrond.,46909
LaSalle,Arrond.,82064
Mercier–Hochelaga-Maisonneuve,Arrond.,144297
Mont-Royal,Ville,22027
Montréal Est,Ville,4012
Montréal-Nord,Arrond.,87928
Montréal-Ouest,Ville,5287
Outremont,Arrond.,25826
Pierrefonds–Roxboro,Arrond.,73230
Plateau Mont-Royal,Arrond.,108102
Pointe-Claire,Ville,33382
Rivière-des-Prairies–Pointe-aux-Trembles,Arrond.,114732
Rosemont–La Petite Patrie,Arrond.,147624
Saint-Laurent,Arrond.,105248
Saint-Léonard,Arrond.,82841
Sainte-Anne-de-Bellevue,Ville,5038
Senneville,Ville,981
Sud-Ouest,Arrond.,84299
Verdun,Arrond.,72419
Ville-Marie,Arrond.,95231
Villeray–Saint-Michel–Parc-Extension,Arrond.,148202
Westmount,Ville,20974
Total à Montréal,NA,2050053
