RSS,RLS,cumulative_cases,date_report
01 - Bas-St-Laurent,0111 - RLS de Kamouraska,0,2020-04-11
01 - Bas-St-Laurent,0112 - RLS de Rivière-du-Loup,24,2020-04-11
01 - Bas-St-Laurent,0113 - RLS de Témiscouata,5,2020-04-11
01 - Bas-St-Laurent,0117 - RLS de Matane,0,2020-04-11
02 - Saguenay – Lac-St-Jean,0213 - RLS de Lac-Saint-Jean-Est,11,2020-04-11
02 - Saguenay – Lac-St-Jean,0214 - RLS de Jonquière,20,2020-04-11
02 - Saguenay – Lac-St-Jean,0215 - RLS de Chicoutimi,80,2020-04-11
02 - Saguenay – Lac-St-Jean,0216 - RLS de La Baie,26,2020-04-11
03 - Capitale-Nationale,0311 - RLS de Portneuf,8,2020-04-11
03 - Capitale-Nationale,0312 - RLS de Québec-Sud,264,2020-04-11
03 - Capitale-Nationale,0313 - RLS de Québec-Nord,178,2020-04-11
03 - Capitale-Nationale,0314 - RLS de Charlevoix,5,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0411 - RLS du Haut-Saint-Maurice,0,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0412 - RLS de la Vallée de la Batiscan,19,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0413 - RLS de Maskinongé,100,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0414 - RLS du Centre-de-la-Mauricie,226,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0415 - RLS de Trois-Rivières,206,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0416 - RLS de Bécancour - Nicolet-Yamaska,11,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0417 - RLS de Drummond,62,2020-04-11
04 - Mauricie-et-Centre-du-Québec,0418 - RLS d'Arthabaska - de l'Érable,13,2020-04-11
05 - Estrie,0511 - RLS de la Pommeraie,94,2020-04-11
05 - Estrie,0512 - RLS de la Haute-Yamaska,149,2020-04-11
05 - Estrie,0513 - RLS de Memphrémagog,67,2020-04-11
05 - Estrie,0514 - RLS de Coaticook,10,2020-04-11
05 - Estrie,0515 - RLS de Sherbrooke,225,2020-04-11
05 - Estrie,0516 - RLS de Val Saint-François,59,2020-04-11
05 - Estrie,0517 - RLS d'Asbestos,8,2020-04-11
05 - Estrie,0518 - RLS du Haut-Saint-François,9,2020-04-11
05 - Estrie,0519 - RLS du Granit,11,2020-04-11
06 - Montréal,0611 - RLS de Pierrefonds - Lac Saint-Louis,236,2020-04-11
06 - Montréal,0612 - RLS de Dorval - Lachine - Lasalle,418,2020-04-11
06 - Montréal,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,416,2020-04-11
06 - Montréal,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,727,2020-04-11
06 - Montréal,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,371,2020-04-11
06 - Montréal,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,329,2020-04-11
06 - Montréal,0641 - RLS du Nord de l'Île - Saint-Laurent,250,2020-04-11
06 - Montréal,0642 - RLS d'Ahuntsic - Montréal-Nord,474,2020-04-11
06 - Montréal,0643 - RLS de la Petite Patrie - Villeray,202,2020-04-11
06 - Montréal,0651 - RLS de Saint-Léonard - Saint-Michel,285,2020-04-11
06 - Montréal,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,378,2020-04-11
06 - Montréal,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,310,2020-04-11
07 - Outaouais,0713 - RLS des Collines-de-l'Outaouais,9,2020-04-11
07 - Outaouais,0714 - RLS de Grande-Rivière - Hull - Gatineau,123,2020-04-11
07 - Outaouais,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,9,2020-04-11
08 - Abitibi-Témiscamingue,0811 - RLS de l'Abitibi-Ouest,9,2020-04-11
08 - Abitibi-Témiscamingue,0813 - RLS de Rouyn-Noranda,114,2020-04-11
08 - Abitibi-Témiscamingue,0815 - RLS du Témiscaming,12,2020-04-11
09 - Côte-Nord,0911 - RLS de Caniapiscau,0,2020-04-11
09 - Côte-Nord,0912 - RLS de la Haute-Côte-Nord - Manicouagan,16,2020-04-11
09 - Côte-Nord,0913 - RLS de Port-Cartier,23,2020-04-11
09 - Côte-Nord,0914 - RLS de Sept-Îles,43,2020-04-11
09 - Côte-Nord,0915 - RLS de la Minganie,6,2020-04-11
09 - Côte-Nord,0916 - RLS de la Basse-Côte-Nord,0,2020-04-11
09 - Côte-Nord,0917 - RLS de Kawawachikamach,0,2020-04-11
10 - Nord-du-Québec,1001 - Nord-du-Québec,5,2020-04-11
11 - Gaspésie-Îles-de-la-Madeleine,1111 - RLS de la Baie-des-Chaleurs,60,2020-04-11
11 - Gaspésie-Îles-de-la-Madeleine,1114 - RLS du Rocher-Percé,15,2020-04-11
11 - Gaspésie-Îles-de-la-Madeleine,1121 - RLS des Îles-de-la-Madeleine,8,2020-04-11
12 - Chaudière-Appalaches,1211 - RLS Alphonse-Desjardins,181,2020-04-11
12 - Chaudière-Appalaches,1212 - RLS de la région de Thetford,6,2020-04-11
12 - Chaudière-Appalaches,1213 - RLS de Beauce,21,2020-04-11
12 - Chaudière-Appalaches,1214 - RLS des Etchemins,0,2020-04-11
12 - Chaudière-Appalaches,1215 - RLS de Montmagny-L'Islet,8,2020-04-11
13 - Laval,1311 - RLS de Laval,1108,2020-04-11
